5050,3840,1211,4625,4930,2830,3590,3010,3545,7100,3335,3055,4590,4692,3275,3900,5960,2980,4140,3640,5900,5945,2975,3620,1936,2964,3180,2700,2167,1646,3740,2940,1890,5246,5352,5140,6100,1920,5750,4440,3190,4420,3520,3655,6600,3880,6790,5990,3370,4030,3700,4010,4405.5,5996.1,2780,4935,4950,4750,3125,5490,1750,2915.5,685,3944,13663,5731,3192,5570,4583,5060,4855,3875,4680,6140,3765,4235,7695,2310,2470,1141,513.5,1074,1868,4963,1740,1447.5,2272.5,1902.5,1400,3708,2159,2175,4260,2620,1565,3800,3630,5000,3640,2600,2160
5025,3140,1335,4285,4555,2770,3575,2790,2625,6680,3175,2835,4930,5564,2810,3890,6320,3140,4420,3700,6240,6295,2845,3420,1939,3100,2700,2360,2028,1622,2660,2780,1770,4920,5070,4770,5150,2000,5400,4120,3070,4270,3430,3390,6160,3740,6480,6010,3830,3780,3500,3805,4526.5,5588.4,2760,5585,5100,4805,1860,5785,1450,3269,656,4042,11635,5461,3264,5676,4588,4460,4860,3755,4350,6075,3680,4195,7730,2320,2455,1548,695.5,1288,2334,4706,1005,935,1477.5,1327.5,1305,3070,2137,2160,3940,2940,1460,3680,3370,4850,3530,2510,2240
5080,4580,1688,4525,5550,1950,4665,3520,3410,7010,3615,3245,5300,5652,3550,4210,7050,4105,6000,4420,6175,6270,3625,4120,2807,4444,4100,3480,2276,1783,3330,3180,2270,5540,5592,5488,6400,2120,6150,4990,3420,4600,4165,4000,6320,3990,6740,6690,3890,4060,3940,4355,4427.5,6548.4,2720,5790,5170,5010,2815,5565,3900,3664.5,1288,5284,9606,4594,4206,7127,5969,4960,5925,4670,5520,5870,3265,4295,7740,2685,2865,1793,849.5,1344,2394,4482.5,1792.5,1602.5,2092.5,1820,1245,3730,2789,2748,4960,3080,1780,4640,4040,5750,4200,2830,2680
5145,4740,2262,5265,5655,2350,4220,3220,3295,6860,3535,3370,5465,5644,3515,4260,7080,3810,5780,3680,5955,6020,3640,3940,2505,4090,3070,3040,2459,1976,3440,2780,2440,5274,5218,5218,6100,2020,6350,4390,3320,4470,3715,3810,5820,3970,6890,7040,3740,3640,3620,4365,4290,6147.3,2720,6355,5265,5360,2820,5910,2900,3483,3914,5492,8784.5,3770,4333,7292,5399,4900,5270,4335,5130,5723,2950,4410,7755,2630,2605,1585,736.5,1129.5,2011,4314,1965,1870,1892.5,1750,1260,3509,2266,2508,4280,3120,1990,4020,3620,5550,3520,2360,2540
5245,3920,3835,5165,5435,2680,4305,3170,3710,6950,3595,3665,5395,5864,3870,4390,7170,4185,6300,4140,5955,5780,3865,4080,2733,4406,3910,2780,2471,1966,3700,2720,2540,5554,5572,5572,6300,1880,6450,5090,3980,4680,3755,3790,6080,4100,7180,6770,4150,3990,4040,4565,4103,6215.7,2660,6430,5090,5400,3440,6765,3150,3286,6837,5649,9415.5,3551,4376,7412,5612,5300,6120,4945,6140,5558,2975,4580,7755,2685,2685,1872,882,988,1772,4288,2085,1895,1852.5,1752.5,1306,3720,2636,2892,5180,2420,2460,5040,4630,5650,4160,2820,2580
5395,4900,6423,5705,5835,4640,4670,3560,3505,6490,3340,3735,5000,6080,3600,4310,7620,4520,6680,4720,6045,5455,4345,4640,3017,4888,4130,3180,2637,2071,4200,2920,2750,5381,5444,5316,6550,1980,6400,5430,4570,4810,3720,3790,6240,3920,7140,7900,3390,3720,3950,4265,4449.5,6613.2,2640,6545,4945,5160,4025,6485,3550,3428.5,7104,5351,10418,3094,4090,6993,5986,5220,6025,4600,5440,5418,3225,5020,7765,2755,2945,1929,884.5,1457.5,2381,4041.5,2440,2055,1862.5,1655,1422,4032,2638,2893,5520,2930,2155,4960,5200,6800,3990,2640,3080
5425,3400,9784,5085,5640,3380,4515,3660,3035,6360,3185,3100,5085,6116,3240,4130,7000,3960,5770,4300,5510,5245,3945,4360,2602,4014,4260,3360,2706,2123,4290,3080,2590,5117,5106,5126,6750,2280,5900,4990,5240,4530,3775,3350,5740,3850,6930,6730,3580,3780,3950,4055,4543,5876.4,2640,6530,4600,5075,2810,7055,2900,3454,7464,5536,11344.5,3020,4213,6921,5045,5680,5385,4395,5580,5451,3270,5155,7755,2430,2320,2575,1246.5,754,1238,4308,2317.5,2100,1847.5,1597.5,1516,3914,3095,2697,3920,2780,2290,3940,5270,7400,3220,2060,2080
5515,3440,9064,6090,6380,3770,5070,4140,2815,5640,3025,3175,4935,5732,3550,4090,7790,3705,5310,4200,5440,5575,3865,4760,2524,3608,5530,3340,2672,2055,4520,3300,2540,5675,5860,5490,8150,2900,6450,5560,5280,5360,3910,3900,6980,4190,7200,6900,3880,4190,4180,4210,4669.5,6807.6,2660,7090,4730,4980,3120,8085,2100,3683.5,6308,5356,11271,3081,4245,7020,5789,5940,6060,4345,5040,5353,3425,5205,7725,2780,3040,1820,826.5,828.5,1455,4349,2312.5,2100,1507.5,1445,1676,5100,3315,3069,6800,2890,2685,5380,5960,6700,4700,3170,2560
5450,2600,6082,6500,6310,4320,4665,3810,3720,6380,3480,3350,5065,5188,4025,4430,7830,3525,5380,3320,5960,5945,3675,4140,2756,4200,4890,3340,2876,2266,4490,3220,2490,5501,5528,5474,6550,3060,6600,4510,4920,4850,3600,3725,6540,3990,7010,7320,3570,3770,3780,4400,4466,6700.5,2700,7055,4950,5335,3600,7610,2200,3828,5549,5254,11895,3041,4159,7134,5893,5980,6010,4390,5170,5236,3575,5250,7740,3080,3025,2049,986,941,1710,4391,2667.5,2477.5,1880,1657.5,1834,6373,3218,2909,5820,3000,2880,5000,5650,5850,4380,3090,3120
5405,2220,4456,6105,6390,4710,4905,4020,3335,6230,3510,3410,5165,4988,3805,4450,7580,4305,6640,3940,6100,6115,3785,3800,2652,4358,3000,3460,2833,2304,3550,3460,2650,5832,5870,5794,7600,3280,7100,5230,4960,5350,3705,3945,6780,4140,7440,7580,3440,4060,4070,4975,4317.5,7067.1,2760,6935,4805,5380,2875,8775,2450,3837.5,6365,5758,12152.5,3087,4317,7692,6078,6400,5515,4490,5240,5273,3455,5330,7745,3200,3080,2589,1156,1020.5,1863,4528,3655,3497.5,2167.5,2042.5,2132,6548,4441,3023,6420,3380,3680,5320,5120,4600,4120,3230,2720
